start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,اراضي زراعية قريبة لمكان السكن  في المروج ,نعم,نازح داخلي,2025-03-01,,ملك,5,4,2,2,نعم,,,,464175134,2025-04-16,,submitted_via_web,29
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,4,4,3,1,نعم,,,,464175196,2025-04-16,,submitted_via_web,30
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أجار,6,6,4,2,نعم,,,,464176706,2025-04-16,,submitted_via_web,31
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,6,6,1,5,نعم,,,,464177520,2025-04-16,,submitted_via_web,32
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,طيرو,نعم,نازح داخلي,2025-03-01,,أستضافة,5,5,1,1,نعم,,,,464178266,2025-04-16,,submitted_via_web,33
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,4,4,4,0,نعم,,,,464178795,2025-04-16,,submitted_via_web,34
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,5,3,2,1,نعم,,,,464180568,2025-04-16,,submitted_via_web,35
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,2,2,1,1,لا,طرطوس,ريف بانياس,,464181274,2025-04-16,,submitted_via_web,36
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,طيرو ,نعم,مجتمع مضيف,,,أجار,8,4,1,1,نعم,,,,464181454,2025-04-16,,submitted_via_web,37
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,6,2,1,1,نعم,,,,464183176,2025-04-16,,submitted_via_web,38
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,5,5,5,1,نعم,,,,464183211,2025-04-16,,submitted_via_web,39
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-03-01,,أجار,5,4,4,0,نعم,,,,464183278,2025-04-16,,submitted_via_web,40
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,6,5,1,4,نعم,,,,464184361,2025-04-16,,submitted_via_web,41
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,الدي ,نعم,نازح داخلي,2025-03-01,,ملك,5,5,1,1,نعم,,,,464184532,2025-04-16,,submitted_via_web,42
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,لا,مجتمع مضيف,,,ملك,3,1,1,0,نعم,,,,464185794,2025-04-16,,submitted_via_web,43
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,5,7,6,1,لا,طرطوس,ريف بانياس,,464186118,2025-04-16,,submitted_via_web,44
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,5,5,4,1,نعم,,,,464187869,2025-04-16,,submitted_via_web,45
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,الغنصلة ,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2024-01-01,,أخرى,5,5,0,0,نعم,,,,464188919,2025-04-16,,submitted_via_web,46
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,5,5,2,3,نعم,,,,464190690,2025-04-16,,submitted_via_web,47
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,4,4,3,1,لا,طرطوس,القدموس,,464190920,2025-04-16,,submitted_via_web,48
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-03-01,,ملك,5,3,3,1,نعم,,,,464191667,2025-04-16,,submitted_via_web,49
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أجار,3,5,4,1,نعم,,,,464192628,2025-04-16,,submitted_via_web,50
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,5,5,2,3,نعم,,,,464192709,2025-04-16,,submitted_via_web,51
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,6,6,1,5,نعم,,,,464193251,2025-04-16,,submitted_via_web,52
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,المروج,نعم,نازح داخلي,2025-03-01,,لا يوجد مسكن,6,5,1,1,نعم,,,,464193703,2025-04-16,,submitted_via_web,53
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,ملك,6,6,5,1,نعم,,,,464194457,2025-04-16,,submitted_via_web,54
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,6,3,1,2,نعم,,,,464194729,2025-04-16,,submitted_via_web,55
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أجار,2,6,6,0,نعم,,,,464195202,2025-04-16,,submitted_via_web,56
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,3,3,3,1,نعم,,,,464195946,2025-04-16,,submitted_via_web,57
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,الزلو,لا,نازح داخلي,1993-04-01,,لا يوجد مسكن,2,2,1,1,لا,طرطوس,ريف بانياس,,464197120,2025-04-16,,submitted_via_web,58
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,4,4,4,0,نعم,,,,464197308,2025-04-16,,submitted_via_web,59
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,5,5,4,1,نعم,,,,464198344,2025-04-16,,submitted_via_web,60
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,5,5,4,1,نعم,,,,464199881,2025-04-16,,submitted_via_web,61
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,4,4,1,3,لا,طرطوس,بانياس,,464200312,2025-04-16,,submitted_via_web,62
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,4,6,5,1,لا,طرطوس,ريف بانياس,,464200847,2025-04-16,,submitted_via_web,63
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,6,6,1,5,نعم,,,,464200893,2025-04-16,,submitted_via_web,64
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,بانياس,بانياس,المروج,نعم,نازح داخلي,2025-03-01,,ملك,3,3,0,0,نعم,,,,464201179,2025-04-16,,submitted_via_web,65
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,أستضافة,4,4,1,1,لا,طرطوس,القدموس,,464201436,2025-04-16,,submitted_via_web,66
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,ملك,4,4,3,1,لا,طرطوس,ريف بانياس,,464203057,2025-04-16,,submitted_via_web,67
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,5,5,4,1,نعم,,,,464203490,2025-04-16,,submitted_via_web,68
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,4,4,4,1,نعم,,,,464203906,2025-04-16,,submitted_via_web,69
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,4,7,7,0,لا,طرطوس,القدموس,,464205812,2025-04-16,,submitted_via_web,70
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,3,1,1,0,نعم,,,,464206087,2025-04-16,,submitted_via_web,71
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,5,5,1,4,لا,طرطوس,بانياس,,464206109,2025-04-16,,submitted_via_web,72
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,نازح عائد (كان في منطقة أخرى داخل سوريا),2025-04-01,,أستضافة,5,6,5,1,نعم,,,,464207356,2025-04-16,,submitted_via_web,73
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,لا,نازح داخلي,2025-03-01,,أستضافة,3,2,1,1,نعم,,,,464207381,2025-04-16,,submitted_via_web,74
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,5,5,4,1,نعم,,,,464208242,2025-04-16,,submitted_via_web,75
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,4,4,4,1,نعم,,,,464208368,2025-04-16,,submitted_via_web,76
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,4,4,3,1,نعم,,,,464210811,2025-04-16,,submitted_via_web,77
